1	Flamas Ultra Stone
2	Functional Block
3	Static Water
4	Active Water
5	Static Lava
6	Flowing Lava
7	Teleport Effect
8	Embossed Brick
9	Speedup Block
10	Celesthium Block
11	Static Honey
12	Active Honey
13	Static Quicksand
14	Active Quicksand
15	Curse Stone
16	Curse Stone-Activated
17	Static Poison
18	Active Poison
19	Aeolian Rock
20	Horas Air
21	unavailable in this version
22	unavailable in this version
23	Contourite
24	Mn Nodule Ore
25	Reef
26	Drift Bottle
27	Drift Bottle from Afar
28	Small Glass Bottle (Block)
29	Yellow Sand
30	unavailable in this version
31	Solid Ice Spikes
32	Floating Ice Spikes
33	Ordinary Crystal Core Ore
34	Frostfire Ore
35	Frostfire Stone
36	Cave Entrance Refresh
37	Cave Tunnel Refresh
38	Cave Cavern Refresh
39	Cave Hole Refresh
100	Grassy Soil Block
101	Soil
102	Farmland
103	Pit
104	Rock
105	Moss Stone
106	Fine Yellow Sand
107	Rubble
108	Plain Brick
109	Sand Soil
110	Stone
111	unavailable in this version
112	Black Crystal
113	Floating Ice
114	Mud
115	Fluffy Snow
116	Horas Rock
117	Horas Grass Block
118	Horas Cloud
119	Dry Soil
120	Frozen Soil
121	Frozen Pit
122	Thick Snow
123	Natural Ice
124	Sulfur Rock
125	Searing Sand
126	Magic Rock
127	Sponge
128	Red Sand
129	Thick Snow
130	Thick Snow Block
131	Solid Ice
132	Sulfur Crystal Sand
133	Empty Honeycomb
134	Full Honeycomb
135	Horas Totem-Earth
136	Horas Totem-Sky
137	Horas pit
138	Toxic Block
139	BOSS Fight Utility Block
140	Life Plinth
141	Courage Plinth
142	Wisdom Plinth
143	Broken Plinth
144	Crimson Butterfly Bottle
145	Cyan Butterfly Bottle
146	Fragrant Butterfly Bottle
147	White Butterfly Bottle
148	Dragonkin Butterfly Bottle
149	Bell Butterfly Bottle
150	Red Clay Farmland
151	Red Clay Pit
152	Horas Rock Upright Lamina
153	Bamboo Upright Lamina
154	Carmine Upright Lamina
155	Cement Brick Upright Lamina
156	Sulfur Brick Upright Lamina
157	Stone Upright Lamina
158	Fine Brick Upright Lamina
159	Titanium Upright Lamina
160	Brass Upright Lamina
161	Mica Upright Lamina
162	Mithril Upright Lamina
163	Flamo Upright Lamina
164	Citrine Upright Lamina
165	Cinerous Upright Lamina
166	Crimson Upright Lamina
167	Sunset Orange Upright Lamina
168	Begonia Red Upright Lamina
169	Ivory Upright Lamina
170	Dark Orange Upright Lamina
171	Upright Lamina
172	Yellow Brick Upright Lamina
173	Mn Block Upright Lamina
174	Hoary Upright Lamina
200	Cherry Wood
201	Larch Wood
202	Poplar Wood
203	Redwood
204	Phoebe Wood
205	Walnut Wood
206	Wooden Board
207	Dark Orange Board
208	Ivory Board
209	Begonia Red Board
210	Sunset Orange Board
211	Crimson Board
212	Cherry Sapling
213	Larch Sapling
214	Poplar Sapling
215	Redwood Sapling
216	Phoebe Sapling
217	Walnut Sapling
218	Cherry Wood Leaves
219	Larch Leaves
220	Poplar Leaves
221	Redwood Leaves
222	Phoebe Leaves
223	Walnut Leaves
224	Grass
225	Withered Grass
226	Soil-shoot
227	Perilla
228	Hollyhock
229	Corn
230	Giant Buru
231	Giant Buru Seedling
232	Aerial Root
